# https://mathgloss.github.io/MathGloss/database
# retrieved 2024-03-16

Wikidata ID	Chicago	Lean 4 Undergrad	MuLiMa	nLab
Q956233	simple module		simple module	
Q994399	simplicial complex		simplicial complex	simplicial complex
Q7520902	simplicial homology group			simplicial homology
Q912058	simply connected			simply connected space
Q1095056	singular homology group			singular homology
Q1824450	singular measure			
Q2291918	skeleton of a category			skeleton (category theory)
Q19619110	small category		small category	
Q868473	smooth	smooth functions		smooth map
Q78338964	smooth topological m-dimensional manifold with boundary			
Q759832	solvable group			solvable group
Q7558992	solvable lie algebra			
Q209812	span			span (linear algebra)
Q7574831	special linear algebra			special linear lie algebra
Q2140900	special linear group	special linear group		special linear group
Q3117934	special orthogonal group			
Q684363	special unitary group	special unitary group		su(5)
Q2601117	stirling numbers of the second kind			
Q7625098	structure constants			
Q629933	subalgebra			
Q7631151	subgraph			
Q466109	subgroup	subgroup (mathematics)		subgroup (mathematics)
Q2498094	submodule			
Q55648664	subrepresentation			subrepresentation
Q660730	subspace topology			subspace topology
Q1136376	support	support of a distribution		support of a function
Q484298	surface		surface	surface (topology)
Q229102	surjective		surjective function	surjection
Q1307987	suspension			suspension (topology)
Q78269866	sylow p-subgroup			
Q621461	symmetric			symmetric relation
Q3773126	symmetric derivative			
Q1147242	symmetric difference			symmetric difference
Q849512	symmetric group			symmetric group
Q55643402	symmetric power of group representations			
Q909601	tangent space	tangent space		
Q48995828	tensor product of group representations			tensor product of representations
Q1163016	tensor product of vector spaces		tensor product	tensor product of vector spaces
Q10260753	topological field			
Q7825035	topological game			
Q1046291	topological group			topological group
Q922339	topological ring			topological ring
Q179899	topological space		topological space	topological space
Q7827200	torsion free module			torsion-free module
Q2293759	torsion subgroup			torsion subgroup
Q1936288	total variation			
Q1362228	totally bounded			totally bounded space
Q1544261	totally disconnected			totally disconnected space
Q321102	trace		trace	trace (linear algebra)
Q64861	transitive			transitive relation
Q2666112	transposition			
Q272735	tree			tree (graph theory)
Q7844662	trivial group representation			trivial representation
Q741865	uniformly continuous	uniformly continuous functions		
Q1052579	unique factorization domain			unique factorization domain
Q118084	unit of a ring			unit (ring theory)
Q929536	unital subring			subring
Q1500617	unitary group	unitary group		unitary group
Q727103	unitary matrix			unitary matrix
Q2495534	unitary transformation			
Q4475749	universal covering space			
Q1673406	universal enveloping algebra			universal enveloping algebra
Q125977	vector space	vector space	vector space	vector space
Q728435	vector subspace	vector subspace		subspace (linear algebra)
Q3229352	vitali covering			
Q39297	volume of a rectifiable set		volume	volume (mathematics)
Q20850777	weak convergence			
Q7977932	weak hausdorff			
Q1781358	wedge sum			wedge sum
Q72535212	weight space			
Q768074	weyl group			weyl group
Q35059	width		width	
Q828111	zero divisor			zero-divisor
Q217357	σ-algebra	sigma-algebras		sigma-algebra
Q14481419		0-1 law		
Q318737			abelian category	abelian category
Q515874			abscissa	
Q332465		absolute convergence		absolute convergence
Q91134251			absolutely convergent series	
Q844451			acnode	
Q32043			addition	
Q4681343			additive category	additive category
Q357858			adjoint	unit (category theory)
Q91435997			affine scheme	
Q382504		affine span		
Q382698		affine subspace		affine space (algebraic geometry)
